ph_owner,asin,sku,account,spend_gbp,clicks,impressions,conversions
Abinayaa,B0DQD74HVG,PHSF1BMTYB3PK,LEDSone UK,11.38,24,2551,0
Abinayaa,B0DQDBNJQ8,PHSF1ROTRO3PK,LEDSone UK,6.88,13,2237,0
Abinayaa,B0D45236MW,PHSF2GDTYB+ICST64E27,DCVoltage UK,6.12,20,9386,0
Abinayaa,B0DQD9LY98,PHSF1AGTGB3PK,LEDSone UK,4.28,13,755,0
Abinayaa,B0CLGXC7ZP,PHSF2GDTYB D,LEDSone UK,4.07,14,1561,0
Abinayaa,B0DBHQZ9G1,CRSF100BM+PHRYWP1RBM,DCVoltage UK,3.48,11,452,0
Arudchelvi,B08B1N1LJT,CLTCR+LSFT4HCR+SFCRCR,DCVoltage UK,6.95,19,5364,0
Arudchelvi,B0G2L5PHNG,ENC7766,LEDSone UK,3.81,8,363,0
Dilani,B07DH89GTY,12UK3P2A,LEDSone UK,9.62,31,6456,0
Illakkiya,B0CKW1YDTB,TPHTTF2PBRBM+LSMCSPMSMC,LEDSone UK,8.35,27,2256,0
Illakkiya,B0CR5R5DC6,CKB2827BR,LEDSone UK,5.06,15,2808,0
Illakkiya,B0FXGQH4KL,TPOSBDBM3PK,DCVoltage UK,4.49,11,3416,0
Illakkiya,B0CKVYXH3S,TPHTTF2PBRBM+LSMCSPFLMC,LEDSone UK,3.08,10,856,0
Jasmini,B08KGJT4DP,CL3THE5PK AM,DCVoltage UK,8.04,14,3225,0
Jasmini,B0DH9CZJ14,CL3TRO5PK-JK,DCVoltage UK,4.47,8,1062,0
Jasmini,B0CHRVWSBM,CL3RBM5PK_J,LEDSone UK,4.23,17,2719,0
Jasmini,B0BBS3RDGZ,CL3TLBAPK,LEDSone UK,4.02,9,1608,0
Jasmini,B0DH8Z6FM1,CL3TBKAPK-JK,DCVoltage UK,3.39,7,468,0
Jubista,B08WJHR3FD,CRSF100YB+LHNSE27YB+LSRP260YB,DCVoltage UK,7.68,19,1731,0
Jubista,B0B4K5THS1,PSDS4BMRRO,LEDSone UK,5.55,14,1548,0
Jubista,B0CDWQBWFB,PSHNOS2WRWH,LEDSone UK,4.59,11,1541,0
Jubista,B08X9WV762,PSDS4BMRBU_AMD,DCVoltage UK,3.33,15,2235,0
Jubista,B0DR94W3SS,PSOS4BMTHE+ICST64E27-H_AMN,LEDSone UK,3.32,9,296,0
Jubista,B08V8Q3NTM,CRSF100WH+LHNSE27WH+LSMS320BT,DCVoltage UK,3.01,10,1619,0
mothajini,B08P1NX6SB,CRFF500BM+PHHT1PBRBM3PK+WCDCBM3PKAM,DCVoltage UK,5.73,34,18067,0
mothajini,B095Z3GZFK,CRFF500BM+PHRI1PBRYB3PK+LSFT220BM3PK,LEDSone UK,5.43,15,1734,0
mothajini,B0CK8113S7,CRFF500BM+PHBK1PBRBA3PK,LEDSone UK,4.56,13,837,0
mothajini,B09FGQD4VK,CRFF500BM+PHCH1BMRBM3PK+LSDO210BM3PK A,LEDSone UK,4.19,11,678,0
mothajini,B0CMCN53QH,CRFF500BM+WCCY1ROCH3PK,LEDSone UK,3.09,10,596,0
Nithushana,B0BZ4S5WQD,LSUL220BC+RPR44WH D,LEDSone UK,9.74,22,2239,0
Nithushana,B0946XHZF3,CRSF100CO+PHMU1PBRCO+LSDO210BC_AMN,LEDSone UK,5.53,12,1518,0
Nithushana,B0C4PSRDYX,ENC3997_A,LEDSone UK,4.66,9,1693,0
paulr,B0D59MHSXN,WCB3WH2PK+RPR44WH2PK VD,DCVoltage UK,12.58,45,4274,0
paulr,B08NDBQLMZ,WCDTBM+RPR44WH A,DCVoltage UK,10.74,27,4504,0
paulr,B0FVXMYKCV,WCIR300BM2PK,DCVoltage UK,8.50,24,3744,0
paulr,B07L5D9189,WCGEVCBK,DCVoltage UK,8.21,27,2459,0
paulr,B0CHRK9GH7,WCVCBC2PK+RPR44WH2PK R,LEDSone UK,7.25,14,8765,0
paulr,B0DMF2KF74,WCCYSP160BM2PK,LEDSone UK,6.85,33,2999,0
paulr,B0DTPHMRW8,WCB2WH3PK+RPR44WH3PK WH,LEDSone UK,5.70,18,2897,0
paulr,B0CHBDSKK4,WCDTRO+RPR44WH,DCVoltage UK,4.90,9,568,0
paulr,B0DCS4YCFW,WCWDRO+RPR44WH,LEDSone UK,3.67,10,2796,0
paulr,B08XW91G7T,WCB7WH+RPR44WH,DCVoltage UK,3.50,15,2717,0
Poovitha,B0G646NX1V,CRSF100BM+LHNSE27BM+SCRN70BM+LSWD360BM,LEDSone UK,7.93,19,1434,0
Poovitha,B0F7Q77D8Q,ENC7472_AB,LEDSone UK,6.66,15,2727,0
Poovitha,B0CTC93TVC,CRSF100BM+LHNSE27YB+SCRN70BM+LSFT220GS,DCVoltage UK,5.35,18,16865,0
Poovitha,B0BNW1NWB9,ENC784 AC,DCVoltage UK,4.23,11,1671,0
Poovitha,B08X4J9CQ1,CRSF100BM+LHNSE27CO+SCRN70CO+LSFT220ORAM,DCVoltage UK,3.73,14,2418,0
Poovitha,B0CKBZ4V22,CRSF100BM+LHNSE27CO+SCRN70CO+LSFT220BI_T,DCVoltage UK,3.28,8,911,0
prasath,B07WG26Z76,SFCR12BK 3P A,DCVoltage UK,8.46,14,1134,0
prasath,B082DFMGT5,SFCR3PBK,DCVoltage UK,5.85,13,1544,0
prasath,B07L6JNC62,SFCRABS,DCVoltage UK,4.70,9,2275,0
prasath,B08F74TBB7,CRFF75SN,DCVoltage UK,4.66,8,1215,0
prasath,B07S7RFB51,FFCR108GBS+CGCEBK AF,DCVoltage UK,4.15,7,2445,0
preethi,B0BTTHW8VM,ENC4392,DCVoltage UK,4.90,16,7859,0
preethi,B0B97Z4ZDD,ENC3550_PR,LEDSone UK,4.04,12,1485,0
preethi,B0BW9PW9XG,ENC2230,DCVoltage UK,3.15,6,715,0
Renuha,B0CBRLFF3L,PHDH1HETHE+ICG80E27602PK,DCVoltage UK,6.38,15,1225,0
Renuha,B0CP9CV6W1,WCRNBM+ICST64E2740 N,DCVoltage UK,4.68,14,971,0
Renuha,B0CWPCS4Y1,WCWODSBM+RPR44WH,LEDSone UK,4.31,12,761,0
Renuha,B0CBMK1KDW,CRSF100BM+PHUH1HETBM+LSHM300HE D,LEDSone UK,4.20,11,1850,0
Renuha,B0F6SLG78J,PHUH1HETBM_1,LEDSone UK,3.95,5,990,0
Renuha,B0FR8C1X83,PHUH1HETBM2PK+LSHM400HE2PK,DCVoltage UK,3.70,10,1626,0
Renuha,B0FZCQMY9B,LSHM400HE2PK+RPR44WH2PK,DCVoltage UK,3.46,8,3170,0
Shanthini,B0CG219VVH,CRFF108WH+LHTKE27WH,LEDSone UK,12.73,31,3874,0
Shanthini,B0CG21CP4J,CRFF108BM+LHTKE27BA,LEDSone UK,11.90,29,1219,0
Shanthini,B0C7GKYFRW,ENC5166,DCVoltage UK,3.70,11,1054,0
shimee,B0CG3GTY9C,WSOSBDBM+icu,LEDSone UK,10.65,34,4378,0
shimee,B0F9YHZS4H,CRSF100HBM+WSWR1PFTBM+RD30+WR+PSDS4BPB,DCVoltage UK,9.00,23,1463,0
shimee,B0CFR1D4ZS,WLFSWWHE2PK+ICST64E272PK,LEDSone UK,4.98,13,602,0
shimee,B0C2VVSJYP,CRSF100BM+WSLS155YB+SCRN70BM+LSFT220BGAM,LEDSone UK,3.72,20,1972,0
shimee,B0CWP2DDGZ,CRFF140SN+WSNW170SN+LSMS320GR,LEDSone UK,3.51,9,561,0
shimee,B0D6VLZXY4,ENC7392 AMD,DCVoltage UK,3.33,14,1817,0
shimee,B0D4TW1GN7,WLFS2202BM D,DCVoltage UK,3.29,7,822,0
shimee,B08W5CZ4HH,CRSF100BM+WSLS155YB+SCRN70BM+LSFT220BM S,DCVoltage UK,3.08,12,526,0
shimee,B08WWH8HWK,ENC903,DCVoltage UK,3.06,8,711,0
Tharshana,B09L8MTZF3,CRSF100BM+PHCH1BMRBM+LSDO400WH,LEDSone UK,3.90,7,1604,0
Tharshana,B092DTV4GG,CRSF100BM+PHCH1BMRBM+LSCY290BI,LEDSone UK,3.78,8,206,0
Tharshana,B07YV66L3P,LAMSCUBKBpck2 A,DCVoltage UK,3.66,10,1284,0
